Record_ID,Tax_Year,Filing_Status,Gross_Income,Deductions,Status,Submission_Date
1,2025,Single,88637,12770,Pending,2025/02/01
2,2024,Head of Household,108658,9972,Under Review,2025/10/03
3,2024,Head of Household,68457,20483,Under Review,2025/05/11
4,2024,Single,63309,9106,Under Review,2025/06/09
4,2024,Single,63309,9106,Under Review,2025/06/09
6,2024,Married,120845,18899,Filed,2025/12/06
7,2025,Head of Household,143359,9327,Filed,2025/08/31
8,2024,Head of Household,30021,21671,Pending,2026/03/06
9,2025,Married,85900,8412,Under Review,2025/09/10
10,2025,Head of Household,57533,22136,Under Review,2025/03/22
11,2024,Head of Household,88103,,Filed,2026/01/11
12,2024,Single,122990,24956,Pending,2026/03/21
13,2025,Head of Household,85352,24992,Under Review,2026/02/27
14,2024,Head of Household,119425,14259,Under Review,2025/09/14
15,2025,Single,58397,20248,Under Review,2026/01/16
16,2025,Married,78084,21147,Filed,2025/05/11
17,2025,Married,86895,5334,Under Review,2026/01/29
18,2024,Married,81404,24980,Pending,2025/11/07
19,2025,Married,-133928,11970,Under Review,2025/04/06
20,2025,Head of Household,128674,14209,Filed,2025/02/22
21,2024,Head of Household,84075,23756,Filed,2025/06/08
22,2024,Married,58315,5036,Under Review,2025/11/24
23,2024,Head of Household,133723,17993,Pending,2025/03/14
24,2024,Married,120183,17146,Pending,2025/12/16
25,2025,Head of Household,69741,18425,Filed,2025/05/09
26,2025,Single,121292,10704,Filed,2025/08/01
27,2024,Head of Household,79533,19878,Filed,2026/02/20
28,2024,Head of Household,112338,15947,Under Review,2025/07/23
29,2025,Single,136870,9059,Pending,2025/05/18
30,2025,Head of Household,75060,16919,Under Review,2026/03/13
31,2024,Single,139889,7465,Pending,2025/02/26
32,2024,Married,70195,20716,Under Review,2025/06/03
33,2024,Head of Household,69600,8585,Pending,2025/09/07
34,2024,Single,132828,10450,Pending,2025/02/03
35,2024,Single,141620,14468,Filed,2025/07/21
36,2024,Married,91527,13922,Under Review,2026/03/18
37,2025,Single,86697,13381,Filed,2025/05/09
38,2024,Head of Household,59250,22535,Filed,2025/11/18
39,2025,Married,123349,8435,Pending,2025/11/05
40,2024,Married,62025,8945,Pending,2025/02/20
41,2025,Married,111479,20207,Under Review,2026/03/20
42,2025,Single,72173,11138,Filed,2026/03/24
43,2025,Head of Household,67736,14349,Under Review,2025/11/01
44,2025,Married,99989,8505,Pending,2025/09/01
45,2024,Head of Household,107794,9661,Pending,2025/12/18
46,2025,Married,138501,23252,Under Review,2025/01/09
47,2025,Head of Household,83526,22552,Filed,2025/08/02
48,2025,Head of Household,106899,7280,Pending,2026/03/23
49,2025,Head of Household,109181,16391,Filed,2025/05/19
50,2025,Married,145734,12176,Under Review,2025/05/24
51,2025,Single,133069,23694,Under Review,2025/11/17
52,2024,Single,137251,13919,Pending,2025/02/27
53,2025,Head of Household,73786,24430,Filed,2025/06/13
54,2025,Single,74179,18724,Under Review,2025/12/30
55,2024,Head of Household,62649,22475,Pending,2026/02/28
56,2024,Head of Household,63149,7200,Filed,2025/11/29
57,2025,Married,135939,10635,Pending,2026/03/14
58,2024,Married,110239,12244,Pending,2025/04/24
59,2024,Married,110081,11087,Pending,2025/07/16
60,2024,Married,110278,17007,Under Review,2026/01/11
61,2025,Married,128956,17589,Pending,2025/07/30
62,2025,Single,81090,10575,Pending,2025/04/16
63,2025,Head of Household,68213,14731,Pending,2025/05/03
64,2025,Married,42451,10355,Under Review,2025/12/07
65,2024,Head of Household,62257,12899,Under Review,2026/02/11
66,2024,Single,52563,18535,Pending,2025/04/30
67,2025,Head of Household,55812,11608,Pending,2025/07/12
68,2024,Married,108421,12668,Under Review,2025/12/14
69,2025,Single,42342,8028,Filed,2025/03/24
70,2025,Head of Household,101851,7578,Filed,2025/05/12
71,2024,Married,145202,17309,Under Review,2026/01/26
72,2025,Married,52874,13571,Filed,2025/08/17
73,2024,Married,112092,6732,Under Review,2025/01/04
74,2025,Single,32996,17285,Pending,2026/02/14
75,2025,Single,118407,22968,Filed,2026/03/24
76,2024,Married,98521,7820,Filed,2025/05/14
77,2025,Single,91162,5792,Under Review,2025/09/17
78,2024,Single,60468,9981,Filed,2025/04/06
79,2024,Single,113819,15654,Filed,2025/01/10
80,2025,Single,66247,6756,Under Review,2025/09/30
81,2024,Single,103168,22424,Filed,2026/02/12
82,2025,Married,77884,11348,Under Review,2025/08/14
83,2024,Head of Household,87837,22088,Filed,2025/08/18
84,2024,Single,121028,12686,Under Review,2025/07/16
85,2024,Head of Household,55061,17624,Under Review,2025/10/13
86,2025,Single,145241,15990,Under Review,2026/02/23
87,2025,Head of Household,81335,8284,Filed,2025/12/09
88,2025,Single,51571,14255,Filed,2025/05/14
89,2025,Single,34881,13714,Under Review,2025/11/04
90,2025,Married,50885,9564,Under Review,2025/04/15
91,2024,Single,37793,24713,Filed,2026/02/14
92,2024,Married,132276,20112,Pending,2025/07/25
93,2024,Married,111988,12637,Filed,2025/06/06
94,2024,Head of Household,139194,12145,Filed,2025/02/24
95,2024,Married,144905,22152,Filed,2025/08/08
96,2024,Single,110733,18525,Pending,2025/11/08
97,2024,Married,39834,16834,Under Review,2025/11/07
98,2024,Head of Household,77524,9717,Pending,2025/10/10
99,2025,Head of Household,81974,9991,Pending,2025/03/15
100,2024,Head of Household,55849,15939,Filed,2025/02/04
